query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
q4,auto,10485760,default-10MiB,3,ok,23.12,,200,3000078095504.6,2,0,2,2,4,2465,159286752,results/plans/q4-auto-default-10MiB-r3.txt
q4,auto,22821,admits-1:date,3,ok,43.76,,200,3000078095504.6,1,1,4,1,5,371,1069024,results/plans/q4-auto-admits-1:date-r3.txt
q4,auto,363779,admits-2:date+supplier,3,ok,44.38,,200,3000078095504.6,1,1,4,1,5,327,1069024,results/plans/q4-auto-admits-2:date+supplier-r3.txt
q4,auto,2512573,admits-3:date+supplier+part,3,ok,43.08,,200,3000078095504.6,1,1,4,1,5,358,1069024,results/plans/q4-auto-admits-3:date+supplier+part-r3.txt
q4,auto,7876670,admits-4:date+supplier+part+customer,3,ok,23.09,,200,3000078095504.6,2,0,2,2,4,2250,159286752,results/plans/q4-auto-admits-4:date+supplier+part+customer-r3.txt
q4,auto,63013352,above-all-8x,3,ok,22.44,,200,3000078095504.6,2,0,2,2,4,2319,159286752,results/plans/q4-auto-above-all-8x-r3.txt
q1,joinless,-1,pattern,4,ok,19.80,3.14,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q1-joinless-pattern-r4.txt
q1,auto,10485760,default-10MiB,4,ok,27.09,,200,3000078095504.6,4,0,2,4,6,4157,247584224,results/plans/q1-auto-default-10MiB-r4.txt
q1,auto,22821,admits-1:date,4,ok,132.48,,200,3000078095504.6,1,3,8,1,9,371,1069024,results/plans/q1-auto-admits-1:date-r4.txt
q1,auto,363779,admits-2:date+supplier,4,ok,95.41,,200,3000078095504.6,2,2,6,2,8,1041,11057632,results/plans/q1-auto-admits-2:date+supplier-r4.txt
q1,auto,2512573,admits-3:date+supplier+part,4,ok,55.20,,200,3000078095504.6,3,1,4,3,7,2251,89366496,results/plans/q1-auto-admits-3:date+supplier+part-r4.txt
q1,auto,7876670,admits-4:date+supplier+part+customer,4,ok,26.10,,200,3000078095504.6,4,0,2,4,6,4520,247584224,results/plans/q1-auto-admits-4:date+supplier+part+customer-r4.txt
q1,auto,63013352,above-all-8x,4,ok,26.36,,200,3000078095504.6,4,0,2,4,6,6538,247584224,results/plans/q1-auto-above-all-8x-r4.txt
q2,joinless,-1,pattern,4,ok,17.46,3.79,40,120015240211.4,0,0,2,0,2,0,0,results/plans/q2-joinless-pattern-r4.txt
q2,auto,10485760,default-10MiB,4,ok,12.05,,40,120015240211.4,4,0,2,4,6,3095,139580832,results/plans/q2-auto-default-10MiB-r4.txt
q2,auto,22821,admits-1:date,4,ok,21.04,,40,120015240211.4,1,3,8,1,9,993,1069024,results/plans/q2-auto-admits-1:date-r4.txt
q2,auto,363779,admits-2:date+supplier,4,ok,18.47,,40,120015240211.4,2,2,6,2,8,1914,3717568,results/plans/q2-auto-admits-2:date+supplier-r4.txt
q2,auto,2512573,admits-3:date+supplier+part,4,ok,16.50,,40,120015240211.4,3,1,4,3,7,3639,82026432,results/plans/q2-auto-admits-3:date+supplier+part-r4.txt
q2,auto,7876670,admits-4:date+supplier+part+customer,4,ok,12.04,,40,120015240211.4,4,0,2,4,6,3411,139580832,results/plans/q2-auto-admits-4:date+supplier+part+customer-r4.txt
q2,auto,63013352,above-all-8x,4,ok,11.97,,40,120015240211.4,4,0,2,4,6,4079,139580832,results/plans/q2-auto-above-all-8x-r4.txt
q3,joinless,-1,pattern,4,ok,19.16,3.22,400,1199919067064.6,0,0,2,0,2,0,0,results/plans/q3-joinless-pattern-r4.txt
q3,auto,10485760,default-10MiB,4,ok,21.59,,400,1199919067064.6,4,0,2,4,6,4773,214029768,results/plans/q3-auto-default-10MiB-r4.txt
q3,auto,22821,admits-1:date,4,ok,63.25,,400,1199919067064.6,1,3,8,1,9,792,1069024,results/plans/q3-auto-admits-1:date-r4.txt
q3,auto,363779,admits-2:date+supplier,4,ok,47.71,,400,1199919067064.6,2,2,6,2,8,1106,11057632,results/plans/q3-auto-admits-2:date+supplier-r4.txt
q3,auto,2512573,admits-3:date+supplier+part,4,ok,46.75,,400,1199919067064.6,2,2,6,2,8,1628,11057632,results/plans/q3-auto-admits-3:date+supplier+part-r4.txt
q3,auto,7876670,admits-4:date+supplier+part+customer,4,ok,22.08,,400,1199919067064.6,4,0,2,4,6,4441,214029768,results/plans/q3-auto-admits-4:date+supplier+part+customer-r4.txt
q3,auto,63013352,above-all-8x,4,ok,21.84,,400,1199919067064.6,4,0,2,4,6,4783,214029768,results/plans/q3-auto-above-all-8x-r4.txt
q4,joinless,-1,pattern,4,ok,15.48,2.24,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q4-joinless-pattern-r4.txt
q4,auto,10485760,default-10MiB,4,ok,23.22,,200,3000078095504.6,2,0,2,2,4,2166,159286752,results/plans/q4-auto-default-10MiB-r4.txt
q4,auto,22821,admits-1:date,4,ok,44.32,,200,3000078095504.6,1,1,4,1,5,321,1069024,results/plans/q4-auto-admits-1:date-r4.txt
q4,auto,363779,admits-2:date+supplier,4,ok,45.30,,200,3000078095504.6,1,1,4,1,5,402,1069024,results/plans/q4-auto-admits-2:date+supplier-r4.txt
q4,auto,2512573,admits-3:date+supplier+part,4,ok,44.38,,200,3000078095504.6,1,1,4,1,5,339,1069024,results/plans/q4-auto-admits-3:date+supplier+part-r4.txt
q4,auto,7876670,admits-4:date+supplier+part+customer,4,ok,22.86,,200,3000078095504.6,2,0,2,2,4,2059,159286752,results/plans/q4-auto-admits-4:date+supplier+part+customer-r4.txt
q4,auto,63013352,above-all-8x,4,ok,22.81,,200,3000078095504.6,2,0,2,2,4,2685,159286752,results/plans/q4-auto-above-all-8x-r4.txt
q1,joinless,-1,pattern,5,ok,19.51,3.35,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q1-joinless-pattern-r5.txt
q1,auto,10485760,default-10MiB,5,ok,26.64,,200,3000078095504.6,4,0,2,4,6,5029,247584224,results/plans/q1-auto-default-10MiB-r5.txt
q1,auto,22821,admits-1:date,5,ok,129.71,,200,3000078095504.6,1,3,8,1,9,353,1069024,results/plans/q1-auto-admits-1:date-r5.txt
q1,auto,363779,admits-2:date+supplier,5,ok,91.81,,200,3000078095504.6,2,2,6,2,8,1067,11057632,results/plans/q1-auto-admits-2:date+supplier-r5.txt
q1,auto,2512573,admits-3:date+supplier+part,5,ok,56.46,,200,3000078095504.6,3,1,4,3,7,2168,89366496,results/plans/q1-auto-admits-3:date+supplier+part-r5.txt
q1,auto,7876670,admits-4:date+supplier+part+customer,5,ok,26.44,,200,3000078095504.6,4,0,2,4,6,4576,247584224,results/plans/q1-auto-admits-4:date+supplier+part+customer-r5.txt
q1,auto,63013352,above-all-8x,5,ok,28.00,,200,3000078095504.6,4,0,2,4,6,5388,247584224,results/plans/q1-auto-above-all-8x-r5.txt
q2,joinless,-1,pattern,5,ok,17.27,3.89,40,120015240211.4,0,0,2,0,2,0,0,results/plans/q2-joinless-pattern-r5.txt
q2,auto,10485760,default-10MiB,5,ok,11.65,,40,120015240211.4,4,0,2,4,6,3714,139580832,results/plans/q2-auto-default-10MiB-r5.txt
q2,auto,22821,admits-1:date,5,ok,20.90,,40,120015240211.4,1,3,8,1,9,916,1069024,results/plans/q2-auto-admits-1:date-r5.txt
q2,auto,363779,admits-2:date+supplier,5,ok,18.49,,40,120015240211.4,2,2,6,2,8,2069,3717568,results/plans/q2-auto-admits-2:date+supplier-r5.txt
q2,auto,2512573,admits-3:date+supplier+part,5,ok,16.75,,40,120015240211.4,3,1,4,3,7,3888,82026432,results/plans/q2-auto-admits-3:date+supplier+part-r5.txt
q2,auto,7876670,admits-4:date+supplier+part+customer,5,ok,12.48,,40,120015240211.4,4,0,2,4,6,3761,139580832,results/plans/q2-auto-admits-4:date+supplier+part+customer-r5.txt
q2,auto,63013352,above-all-8x,5,ok,14.17,,40,120015240211.4,4,0,2,4,6,4076,139580832,results/plans/q2-auto-above-all-8x-r5.txt
q3,joinless,-1,pattern,5,ok,19.24,3.42,400,1199919067064.6,0,0,2,0,2,0,0,results/plans/q3-joinless-pattern-r5.txt
q3,auto,10485760,default-10MiB,5,ok,22.13,,400,1199919067064.6,4,0,2,4,6,4984,214029768,results/plans/q3-auto-default-10MiB-r5.txt
q3,auto,22821,admits-1:date,5,ok,61.76,,400,1199919067064.6,1,3,8,1,9,492,1069024,results/plans/q3-auto-admits-1:date-r5.txt
q3,auto,363779,admits-2:date+supplier,5,ok,46.67,,400,1199919067064.6,2,2,6,2,8,1108,11057632,results/plans/q3-auto-admits-2:date+supplier-r5.txt
q3,auto,2512573,admits-3:date+supplier+part,5,ok,46.30,,400,1199919067064.6,2,2,6,2,8,1836,11057632,results/plans/q3-auto-admits-3:date+supplier+part-r5.txt
q3,auto,7876670,admits-4:date+supplier+part+customer,5,ok,21.43,,400,1199919067064.6,4,0,2,4,6,5363,214029768,results/plans/q3-auto-admits-4:date+supplier+part+customer-r5.txt
q3,auto,63013352,above-all-8x,5,ok,22.38,,400,1199919067064.6,4,0,2,4,6,5138,214029768,results/plans/q3-auto-above-all-8x-r5.txt
q4,joinless,-1,pattern,5,ok,15.46,2.38,200,3000078095504.6,0,0,2,0,2,0,0,results/plans/q4-joinless-pattern-r5.txt
q4,auto,10485760,default-10MiB,5,ok,22.38,,200,3000078095504.6,2,0,2,2,4,2305,159286752,results/plans/q4-auto-default-10MiB-r5.txt
q4,auto,22821,admits-1:date,5,ok,44.73,,200,3000078095504.6,1,1,4,1,5,356,1069024,results/plans/q4-auto-admits-1:date-r5.txt
q4,auto,363779,admits-2:date+supplier,5,ok,44.14,,200,3000078095504.6,1,1,4,1,5,363,1069024,results/plans/q4-auto-admits-2:date+supplier-r5.txt
q4,auto,2512573,admits-3:date+supplier+part,5,ok,44.56,,200,3000078095504.6,1,1,4,1,5,337,1069024,results/plans/q4-auto-admits-3:date+supplier+part-r5.txt
q4,auto,7876670,admits-4:date+supplier+part+customer,5,ok,23.09,,200,3000078095504.6,2,0,2,2,4,2206,159286752,results/plans/q4-auto-admits-4:date+supplier+part+customer-r5.txt
q4,auto,63013352,above-all-8x,5,ok,22.88,,200,3000078095504.6,2,0,2,2,4,2517,159286752,results/plans/q4-auto-above-all-8x-r5.txt
