dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim100mb,q1,auto,66777535,admits-4:date+supplier+part+customer,2,ok,35.59,,200,3000078095504.6,4,0,2,4,6,14404,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-4:date+supplier+part+customer-r2.txt
dim100mb,q1,auto,534220272,above-all-8x,2,ok,36.69,,200,3000078095504.6,4,0,2,4,6,14307,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-above-all-8x-r2.txt
dim100mb,q1,joinless,-1,pattern,3,ok,26.71,9.48,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-joinless-pattern-r3.txt
dim100mb,q1,auto,10485760,default-10MiB,3,ok,55.85,,200,3000078095504.6,3,1,4,3,7,2357,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-default-10MiB-r3.txt
dim100mb,q1,auto,22821,admits-1:date,3,ok,138.43,,200,3000078095504.6,1,3,8,1,9,395,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-1:date-r3.txt
dim100mb,q1,auto,363779,admits-2:date+supplier,3,ok,94.73,,200,3000078095504.6,2,2,6,2,8,1064,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-2:date+supplier-r3.txt
dim100mb,q1,auto,2512573,admits-3:date+supplier+part,3,ok,57.21,,200,3000078095504.6,3,1,4,3,7,2312,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-3:date+supplier+part-r3.txt
dim100mb,q1,auto,66777535,admits-4:date+supplier+part+customer,3,ok,34.32,,200,3000078095504.6,4,0,2,4,6,13089,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-4:date+supplier+part+customer-r3.txt
dim100mb,q1,auto,534220272,above-all-8x,3,ok,35.33,,200,3000078095504.6,4,0,2,4,6,15496,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-above-all-8x-r3.txt
dim100mb,q1,joinless,-1,pattern,4,ok,26.12,9.73,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-joinless-pattern-r4.txt
dim100mb,q1,auto,10485760,default-10MiB,4,ok,56.09,,200,3000078095504.6,3,1,4,3,7,2260,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-default-10MiB-r4.txt
dim100mb,q1,auto,22821,admits-1:date,4,ok,134.57,,200,3000078095504.6,1,3,8,1,9,349,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-1:date-r4.txt
dim100mb,q1,auto,363779,admits-2:date+supplier,4,ok,95.47,,200,3000078095504.6,2,2,6,2,8,987,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-2:date+supplier-r4.txt
dim100mb,q1,auto,2512573,admits-3:date+supplier+part,4,ok,56.03,,200,3000078095504.6,3,1,4,3,7,2232,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-3:date+supplier+part-r4.txt
dim100mb,q1,auto,66777535,admits-4:date+supplier+part+customer,4,ok,34.63,,200,3000078095504.6,4,0,2,4,6,12889,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-4:date+supplier+part+customer-r4.txt
dim100mb,q1,auto,534220272,above-all-8x,4,ok,35.35,,200,3000078095504.6,4,0,2,4,6,11714,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-above-all-8x-r4.txt
dim100mb,q1,joinless,-1,pattern,5,ok,25.90,9.31,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-joinless-pattern-r5.txt
dim100mb,q1,auto,10485760,default-10MiB,5,ok,56.43,,200,3000078095504.6,3,1,4,3,7,2105,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-default-10MiB-r5.txt
dim100mb,q1,auto,22821,admits-1:date,5,ok,137.02,,200,3000078095504.6,1,3,8,1,9,442,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-1:date-r5.txt
dim100mb,q1,auto,363779,admits-2:date+supplier,5,ok,95.02,,200,3000078095504.6,2,2,6,2,8,1109,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-2:date+supplier-r5.txt
dim100mb,q1,auto,2512573,admits-3:date+supplier+part,5,ok,61.06,,200,3000078095504.6,3,1,4,3,7,2249,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-3:date+supplier+part-r5.txt
dim100mb,q1,auto,66777535,admits-4:date+supplier+part+customer,5,ok,35.42,,200,3000078095504.6,4,0,2,4,6,13018,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-4:date+supplier+part+customer-r5.txt
